Review # (roughly),Artist Name,Album Name,Melon's Rating,Link To Review
2308,Weezer,Van Weezer,5,https://youtu.be/VDUg_ZwswSg
2307,Iceage,Seek Shelter,7,https://youtu.be/ZF_5WgwihL4
2306,CZARFACE & MF DOOM,Super What?,6,https://youtu.be/bAI7-v1LOrI
2305,Squid,Bright Green Field,7,https://youtu.be/7KYnTi0PeoA
2304,Gojira,Fortitude,7,https://youtu.be/yxpMwGDITfU
2303,DJ Khaled,KHALED KHALED,4,https://www.youtube.com/watch?v=G_OUV7T21eY
2302,girl in red,if i could make it go quiet,3,https://www.youtube.com/watch?v=3w838rc2NNM
2301,Sematary,Rainbow Bridge 3,8,https://www.youtube.com/watch?v=1WC988EhgZM
2300,Lil Yachty,Michigan Boy Boat,4,https://youtu.be/BimjGMQbUXQ
2299,Porter Robinson,Nurture,8,https://youtu.be/NKtqB-SFIaw
2298,Jeff Rosenstock,SKA DREAM,8,https://youtu.be/OvJVJwVKRPY
2297,Spectral Wound,A Diabolic Thirst,6,https://youtu.be/CPnXRgwPNPE
2296,Cannibal Corpse,Violence Unimagined,7,https://youtu.be/6lqoxQzTOgc
2295,"Young Stoner Life, Young Thug & Gunna",Slime Language 2,5,https://youtu.be/Mpq6KIPi2NA
2294,Conway the Machine,La Maquina,7,https://youtu.be/hUNsDB_FMsY
2293,Greta Van Fleet,The Battle at Garden's Gate,2,https://youtu.be/0Q97XO4PboI
2292,SPIRIT OF THE BEEHIVE,"ENTERTAINMENT, DEATH",7,https://youtu.be/1JzDzuX4i7E
2291,BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",8,https://youtu.be/D-fk0AjWYiM
2290,Godspeed You! Black Emperor,G_d's Pee AT STATE'S END!,7,https://youtu.be/NzuJI3DSdcY
2289,Iglooghost,Lei Line Eon,6,https://youtu.be/RqovSxr8m5Y
2288,Quadeca,From Me To You,5,https://youtu.be/H12C70upjLU
2287,NF,CLOUDS (THE MIXTAPE),5,https://www.youtube.com/watch?v=jM2eCUscL1g
2286,Xiu Xiu,Oh No,7,https://www.youtube.com/watch?v=Adbj6nehBP8
2285,serpentwithfeet,DEACON,5,https://youtu.be/KDtKSvMWROA
2284,serpentwithfeet,DEACON,5,https://youtu.be/KDtKSvMWROA
2283,"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises,9,https://youtu.be/e0FQqOXsh1E
2282,tUnE-yArDs,sketchy.,7,https://www.youtube.com/watch?v=pnbyue-Jh9k
2281,Armand Hammer & The Alchemist,HARAM,8,https://youtu.be/q492csLww8c
2280,Benny The Butcher & Harry Fraud,The Plugs I Met 2,7,https://youtu.be/zgixzZYYM8Q
2279,Lana Del Rey,Chemtrails Over the Country Club,7,https://youtu.be/One2rMI8chY
2278,Justin Bieber,Justice,3,https://youtu.be/M7CGOFQBMGE
2277,Feu! Chatterton,Palais d'argile,8,https://youtu.be/Dhk8GHeyrkQ
2276,Denzel Curry & Kenny Beats,UNLOCKED 1.5,6,https://youtu.be/GU-O3J-KWsE
2275,Genesis Owusu,Smiling With No Teeth,8,https://youtu.be/-WCSorcTE4I
2274,Altın Gün,Yol,7,https://youtu.be/1ZTRms95AKs
2273,Danny L Harle,HARLECORE,6,https://www.youtube.com/watch?v=DBrDkDkZEuw
2272,Julien Baker,Little Oblivions,4,https://www.youtube.com/watch?v=LXdabIrzrDs
2271,Rural Internet,breaking up.,7,https://youtu.be/X6d79bon-n8
2270,C. Tangana,El Madrileño,7,https://youtu.be/KhdvNC7z8FE
2269,King Gizzard and the Lizard Wizard,L.W.,7,https://youtu.be/reMxrzKTyNU
2268,Nick Cave & Warren Ellis,CARNAGE,8,https://youtu.be/UABXnP_1i-s
2267,Mogwai,As The Love Continues,6,https://youtu.be/jbM_AZxCTBc
2266,Trippie Redd,NEON SHARK vs. Pegasus (Deluxe: Presented by Travis Barker),4,https://youtu.be/f9GlJ-YkqJ4
2265,Black Dresses,Forever In Your Heart,8,https://youtu.be/xkI9StSO9AM
2264,slowthai,TYRON,8,https://www.youtube.com/watch?v=WMAcwJ5lUzE
2263,Pale Waves,Who Am I?,5,https://youtu.be/UpoIMD7izUQ
2262,Ad Nauseam,Imperative Imperceptible Impulse,8,https://www.youtube.com/watch?v=CWqSCn0SG10
2261,Florida Georgia Line,Life Rolls On,3,https://www.youtube.com/watch?v=DNPw2EvySX0
2260,Hayley Williams,FLOWERS for VASES / descansos,5,https://youtu.be/sOVuYWs9RP4
2259,"Black Country, New Road",For the first time,8,https://youtu.be/EYiFXbhAwxg
2258,Conway & Big Ghost Ltd.,IF IT BLEEDS IT CAN BE KILLED,7,https://youtu.be/OxTYIlBoE6Y
2257,Foo Fighters,Medicine at Midnight,5,https://youtu.be/wvLrxrY8Y40
2256,The Weather Station,Ignorance,5,https://youtu.be/TUP1_EmhwI4
2255,The Body,I've Seen All I Need to See,7,https://youtu.be/T2KxQVMzLUM
2254,Weezer,OK Human,8,https://youtu.be/_PM2RMx7zTY
2253,Madlib,Sound Ancestors,7,https://youtu.be/4Sqd7rXJqEw
2252,Portrayal of Guilt,We Are Always Alone,6,https://youtu.be/8L9s6emx0Rc
2251,Bicep,Isles,5,https://www.youtube.com/watch?v=w0j7ptp2a6s
2250,Ashnikko,DEMIDEVIL,6,https://youtu.be/CsApbdvkE5k
2249,Sleaford Mods,Spare Ribs,4,https://youtu.be/XtvBFMOwqsU
2248,shame,Drunk Tank Pink,6,https://youtu.be/t8OB9Da7gsw
2247,Viagra Boys,Welfare Jazz,8,https://youtu.be/ru9qiOXq4ec
2246,Jazmine Sullivan,Heaux Tales,8,https://youtu.be/-bOIen0lY4s
2245,R.A.P. Ferreira,bob's son: R​.​A​.​P. Ferreira in the garden level cafe of the scallops hotel,6,https://youtu.be/VvCRyCMCJpE
2244,Playboi Carti,Whole Lotta Red,5,https://youtu.be/GHz3Sw-jSFw
2243,Navy Blue,Song of Sage: Post Panic!,7,https://youtu.be/-7a9rH2_5Aw
2242,Eminem,Music To Be Murdered By - Side B,3,https://www.youtube.com/watch?v=biBQRH35bWA
2241,Taylor Swift,evermore,7,https://youtu.be/W9cOKfKW1Us
2240,Jack Harlow,That's What They All Say,4,https://youtu.be/nLdt3x9SGsg
2239,Kid Cudi,Man On The Moon III: The Chosen,7,https://youtu.be/53LfL3gPGSc
2238,Moor Mother & Billy Woods,BRASS,8,https://youtu.be/COMIHVbDRcs
2237,The Avalanches,We Will Always Love You,5,https://www.youtube.com/watch?v=FxdeOb1U2HA
2236,Rico Nasty,Nightmare Vacation,7,https://youtu.be/vB_y--drYjM
2235,Ichiko Aoba,アダンの風 (Windswept Adan),9,https://www.youtube.com/watch?v=KK29Ry8Zx2I
2234,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,5,https://youtu.be/IoZPgTi2oE8
2233,Miley Cyrus,Plastic Hearts,6,https://youtu.be/yWuOJ4Uusys
2232,DJ Sabrina The Teenage DJ,Charmed,6,https://youtu.be/xBKHJshpMuE
2231,Megan Thee Stallion,Good News,6,https://youtu.be/XuPVjfETFO8
2230,Liturgy,Origin of the Alimonies,8,https://youtu.be/u2tGz8rtZHQ
2229,Them Airs,Doped Runner Verse,7,https://www.youtube.com/watch?v=ELUAGpc43tg
2228,King Gizzard and the Lizard Wizard,K.G.,6,https://youtu.be/l9Ma-NuFejc
2227,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,7,https://youtu.be/X63OVtokffA
2226,Future & Lil Uzi Vert,Pluto x Baby Pluto,4,https://www.youtube.com/watch?v=5YILMnITBN8
2225,Aesop Rock,Spirit World Field Guide,7,https://youtu.be/Y_ypI1026i4
2224,William Basinski,Lamentations,7,https://youtu.be/f0R4T8xaS04
2223,Future & Lil Uzi Vert,Pluto x Baby Pluto,4,https://www.youtube.com/watch?v=5YILMnITBN8
2222,Kylie Minogue,DISCO,6,https://youtu.be/vii2ZzwUhzI
2221,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,8,https://www.youtube.com/watch?v=u7IJtooEuL0
2220,Oneohtrix Point Never,Magic Oneohtrix Point Never,6,https://youtu.be/ue2o_EokaIw
2219,Busta Rhymes,Extinction Level Event 2: The Wrath of God,6,https://youtu.be/2emd19ePvVw
2218,Dope Body,Crack A Light,6,https://www.youtube.com/watch?v=p-e2aix24dc
2217,Ariana Grande,Positions,5,https://youtu.be/CHdCy31Ihro
2216,Trippie Redd,Pegasus,1,https://youtu.be/utP8MIjgvvo
2215,Jean Dawson,PIXEL BATH,7,https://youtu.be/ScTQqlZL3EQ
2214,Gorillaz,"Song Machine, Season One: Strange Timez",8,https://www.youtube.com/watch?v=G7s5snuMMJA
2213,Adrianne Lenker,songs,8,https://www.youtube.com/watch?v=Czumt_lyu10
2212,clipping.,Visions of Bodies Being Burned,9,https://www.youtube.com/watch?v=0XxT334Qbuc
2211,Dorian Electra,My Agenda,8,https://youtu.be/aNEPvtcuFj0
2210,HEALTH,DISCO4 :: PART I,6,https://youtu.be/hyJN7A4B8F0
2209,Benny The Butcher,Burden of Proof,7,https://youtu.be/fFWKlgG1MGw
2208,Open Mike Eagle,"Anime, Trauma and Divorce",6,https://www.youtube.com/watch?v=pES7sdxFZnY&t
2207,Black Thought,"Streams of Thought, Vol. 3: Cane And Abel",7,https://youtu.be/qe-l_W8hFf4
2206,REASON,New Beginnings,3,https://www.youtube.com/watch?v=Ut8FzE96jjA
2205,Touché Amoré,Lament,6,https://youtu.be/9kION3co4ns
2204,Jay Electronica,Act II: Patents of Nobility,4,https://www.youtube.com/watch?v=gyXM70Ll5T4
2203,Róisín Murphy,Róisín Machine,5,https://youtu.be/FauXaf-aX-M
2202,21 Savage & Metro Boomin,Savage Mode II,7,https://www.youtube.com/watch?v=sg00wSP-iVQ
2201,BLACKPINK,The Album,6,https://www.youtube.com/watch?v=jv9F5ZHUH6k
2200,Neil Cicierega,Mouth Dreams,4,https://youtu.be/BwkYStaZc_M
2199,Anna von Hausswolff,All Thoughts Fly,7,https://youtu.be/yTOaO2T2lPA
2198,Deftones,Ohms,3,https://youtu.be/YbU_oJiqWM8
2197,Spillage Village,Spilligion,5,https://www.youtube.com/watch?v=9VpiXVgQ5gk
2196,Sufjan Stevens,The Ascension,6,https://www.youtube.com/watch?v=gedRaMs5I90
2195,Joji,Nectar,6,https://www.youtube.com/watch?v=QBgqntNfsTo
2194,Idles,Ultra Mono,8,https://youtu.be/6dGoe-1csKY
2193,Undeath,Lesions of a Different Kind,8,https://youtu.be/gyQWxeaqJ3M
2192,Clown Core,Van,7,https://youtu.be/R68JzG7Vb7w
2191,Fleet Foxes,Shore,7,https://www.youtube.com/watch?v=5BQYIgXtxUM
2190,Oh Sees,Protean Threat,6,https://www.youtube.com/watch?v=Xr6nQ4G6Ap4
2189,A.G. Cook,Apple,5,https://www.youtube.com/watch?v=OeHlFSiTAPk
2188,Lil Tecca,Virgo World,3,https://youtu.be/ArYDzjzA0GQ
2187,Conway the Machine,From King To A GOD,8,https://youtu.be/qjy2K0mTmb4
2186,The Flaming Lips,American Head,8,https://www.youtube.com/watch?v=pDfAUTPkgWo
2185,Everything Everything,Re-Animator,6,https://youtu.be/MVPd7rfZlow
2184,NIKI,Moonchild,5,https://youtu.be/RxnIWNbxY70
2183,6ix9ine,TattleTales,3,https://www.youtube.com/watch?v=NPl4pTbjxwY
2182,Big Sean,Detroit 2,7,https://youtu.be/exQ6iwxmsIo
2181,Declan McKenna,Zeros,5,https://youtu.be/InGF9p4p-ZA
2180,Lobsterfight,"pink, black, and orange in the corners.",7,https://youtu.be/yC62_qaVX8E
2179,Katy Perry,Smile,4,https://www.youtube.com/watch?v=B6qB-S2bwj4
2178,Sevdaliza,Shabrang,8,https://www.youtube.com/watch?v=cCfGhfKa7cI
2177,Jaden,CTV3: Cool Tape Vol. 3,5,https://youtu.be/DV_N7cKbOPM
2176,Disclosure,ENERGY,6,https://www.youtube.com/watch?v=wz0CLtCyKfc
2175,Kelly Lee Owens,Inner Song,6,https://www.youtube.com/watch?v=eDEsSdR6vvo
2174,Nas,King's Disease,7,https://youtu.be/bC57B3zsv3k
2173,Meridian Brothers,Cumbia Siglo XXI,8,https://youtu.be/s15wXPP1UNw
2172,Matmos,The Consuming Flame: Open Exercises in Group Form,8,https://youtu.be/n-g7m_ROyds
2171,The Killers,Imploding the Mirage,5,https://www.youtube.com/watch?v=NgAuIMECDXY
2170,Bright Eyes,Down in the Weeds Where the World Once Was,6,https://youtu.be/aV2JKSsoux8
2169,Primitive Man,Immersion,7,https://youtu.be/nmjp97NtrRI
2168,A.G. Cook,7G,6,https://youtu.be/0pq71XoRcgw
2167,NLE Choppa,Top Shotta,6,https://www.youtube.com/watch?v=oJMpR_xlxIY
2166,Aminé,Limbo,7,https://www.youtube.com/watch?v=8M42PpvvHSY
2165,The Microphones,Microphones in 2020,7,https://www.youtube.com/watch?v=tva9Kl62-Ck
2164,NLE Choppa,Top Shotta,6,https://www.youtube.com/watch?v=oJMpR_xlxIY
2163,Fontaines D.C.,A Hero's Death,4,https://youtu.be/fZnUu_QMTN4
2162,Imperial Triumphant,Alphaville,8,https://youtu.be/dOLtyjU0oVg
2161,Dominic Fike,What Could Possibly Go Wrong,4,https://youtu.be/eQpYsueOSPo
2160,City Morgue,TOXIC BOOGALOO,5,https://www.youtube.com/watch?v=CH0ix7D-vr0
2159,Taylor Swift,folklore,7,https://youtu.be/q-kaDVK_FT0
2158,Spirit Possession,Spirit Possession,7,https://youtu.be/AQzJxUAq7Is
2157,Logic,No Pressure,7,https://www.youtube.com/watch?v=-oZIQdDQfro
2156,Boldy James & Sterling Toles,Manger On McNichols,8,https://youtu.be/KD-UKHZaycQ
2155,Blu & Exile,Miles,9,https://youtu.be/1PYyjFW5opc
2154,Oliver Tree,Ugly is Beautiful,7,https://youtu.be/cKr7-euUE1E
2153,Lianne La Havas,Lianne La Havas,8,https://youtu.be/kgM9K3Jc4bA
2152,Nicolas Jaar,Telas,6,https://www.youtube.com/watch?v=m94CWXpu6W8
2151,Protomartyr,Ultimate Success Today,6,https://www.youtube.com/watch?v=fu0ADsiXem8
2150,Bladee,333,6,https://youtu.be/-qXUyXqL8wk
2149,Juice WRLD,Legends Never Die,7,https://youtu.be/R_wr9G1FoQI
2148,100 gecs,1000 gecs and the Tree of Clues,7,https://www.youtube.com/watch?v=VroOqGuEhbA
2147,Pop Smoke,"Shoot for the Stars, Aim for the Moon",6,https://www.youtube.com/watch?v=uNTIp7Tlc6w
2146,Boris,NO,8,https://www.youtube.com/watch?v=6HodlyNwmoU
2145,Arca,KiCk i,7,https://youtu.be/D-R_7gVb6lY
2144,Khruangbin,Mordechai,3,https://www.youtube.com/watch?v=OMGDFW6TXIM
2143,Jessie Ware,What's Your Pleasure?,9,https://www.youtube.com/watch?v=JzXm3T1bF9E
2142,Paysage d'Hiver,Im Wald,3,https://www.youtube.com/watch?v=qwhoHT727TA
2141,Daniel Avery,Love + Light,5,https://youtu.be/pzorv3VkwZE
2140,Klô Pelgag,Notre-Dame-des-Sept-Douleurs,7,https://youtu.be/JuXK6ggAtaI
2139,HAIM,Women in Music Pt. III,8,https://www.youtube.com/watch?v=iwTOEASFyfk
2138,Hum,Inlet,5,https://youtu.be/Lk6weXL6nbI
2137,MIKE,Weight of the World,4,https://www.youtube.com/watch?v=l-CR-77ElnU
2136,Teyana Taylor,The Album,5,https://www.youtube.com/watch?v=xj1t_9eQ71g
2135,Bob Dylan,Rough and Rowdy Ways,5,https://www.youtube.com/watch?v=LFsPY8NhCSw
2134,The Koreatown Oddity,Little Dominiques Nosebleed,8,https://www.youtube.com/watch?v=SQl6PpyNZ14
2133,Baauer,Planet's Mad,7,https://www.youtube.com/watch?v=nqcrG0QCzwE
2132,Phoebe Bridgers,Punisher,8,https://www.youtube.com/watch?v=quifKaDZuU0
2131,Chloe x Halle,Ungodly Hour,8,https://www.youtube.com/watch?v=zCr5tYVgqbo
2130,Chromeo,Quarantine Casanova,7,https://youtu.be/7GhNlAroN20
2129,Armand Hammer,Shrines,7,https://www.youtube.com/watch?v=24EwvWeTdH4
2128,Run the Jewels,RTJ4,8,https://www.youtube.com/watch?v=gZ_FvwAqYSw
2127,Lil Yachty,Lil Boat 3,3,https://www.youtube.com/watch?v=n-TIQo_vCX4
2126,Freddie Gibbs & The Alchemist,Alfredo,8,https://www.youtube.com/watch?v=sD93lPFOY6s
2125,Xibalba,Años En Infierno,6,https://www.youtube.com/watch?v=of5ydyTL3tQ
2124,Lady Gaga,Chromatica,7,https://www.youtube.com/watch?v=yfdRolzdLVE
2123,Deerhoof,Future Teenage Cave Artists,8,https://www.youtube.com/watch?v=xjNG90UjuII
2122,Backxwash,God Has Nothing To Do With This Leave Him Out Of It,8,https://www.youtube.com/watch?v=OBcYr05W8Cs
2121,The 1975,Notes on a Conditional Form,5,https://www.youtube.com/watch?v=fkMqnhFER0k
2120,KSI,Dissimulation,4,https://www.youtube.com/watch?v=mCbOMM2ChT8
2119,Carly Rae Jepsen,Dedicated Side B,7,https://www.youtube.com/watch?v=mdGnwTmXmCs
2118,Jeff Rosenstock,NO DREAM,8,https://www.youtube.com/watch?v=nyy8_TisAlE
2117,Charli XCX,how i'm feeling now,8,https://www.youtube.com/watch?v=HRZcBNjlPQI
2116,Future,High Off Life,3,https://www.youtube.com/watch?v=LqBsfpdHXX0
2115,Yung Lean,STARZ,5,https://www.youtube.com/watch?v=4uNlwM0ZfY8
2114,Perfume Genius,Set My Heart on Fire Immediately,8,https://www.youtube.com/watch?v=0vFTfoOavRM
2113,Polo G,The GOAT,7,https://www.youtube.com/watch?v=s14hal4OKJg
2112,Moses Sumney,græ,7,https://www.youtube.com/watch?v=nwJ88RCBcfE
2111,Natalia Lafourcade,"Un Canto por México, Vol. 1",8,https://www.youtube.com/watch?v=wTbjkUPpbhA
2110,Hayley Williams,Petals for Armor,5,https://www.youtube.com/watch?v=1h5eCTXfBGg
2109,Dope Body,Home Body,8,https://www.youtube.com/watch?v=Uka2_LVDiv8
2108,Umbra Vitae,Shadow Of Life,5,https://www.youtube.com/watch?v=AaTq83KFeKo
2107,KA,Descendants Of Cain,7,https://www.youtube.com/watch?v=VEm5LU1YfeA
2106,Drake,Dark Lane Demo Tapes,3,https://www.youtube.com/watch?v=o-8BK4XJmzg
2105,Car Seat Headrest,Making A Door Less Open,5,https://www.youtube.com/watch?v=SWiRwPkHU8o
2104,Kali Uchis,TO FEEL ALIVE,5,https://www.youtube.com/watch?v=IothoUVKPas
2103,Black Curse,Endless Wound,6,https://www.youtube.com/watch?v=NJgHNeFVQqg
2102,Dance Gavin Dance,Afterburner,4,https://www.youtube.com/watch?v=ugJucHACZr8
2101,Elder,Omens,5,https://www.youtube.com/watch?v=GHkJpVTe568
2100,Quelle Chris & Chris Keys,Innocent Country 2,8,https://www.youtube.com/watch?v=o_dycSOZtm8
2099,Moor Mother & Mental Jewelry,True Opera,8,https://www.youtube.com/watch?v=QsOyGQljH_M
2098,Rina Sawayama,SAWAYAMA,8,https://www.youtube.com/watch?v=SyWmV_oD2us
2097,Fiona Apple,Fetch the Bolt Cutters,7,https://www.youtube.com/watch?v=XGTBxV-RLwI
2096,Oranssi Pazuzu,Mestarin kynsi,7,https://www.youtube.com/watch?v=9_49mZZwlBM
2095,Lido Pimienta,Miss Colombia,8,https://www.youtube.com/watch?v=x0GzWxPJQUs
2094,Westside Gunn,Pray for Paris,6,https://www.youtube.com/watch?v=fsTud32GJrg
2093,DaBaby,BLAME IT ON BABY,4,https://www.youtube.com/watch?v=I-L_MDmJxU0
2092,Black Dresses,Peaceful as Hell,9,https://www.youtube.com/watch?v=fAgo_BNUB_g
2091,Laura Marling,Song For Our Daughter,9,https://www.youtube.com/watch?v=ddy8WPKFDb4
2090,The Strokes,The New Abnormal,8,https://www.youtube.com/watch?v=TXWQ_pl76Y0
2089,Bladee,EXETER,5,https://www.youtube.com/watch?v=Hs3Bfg_5t8Q
2088,Yves Tumor,Heaven To A Tortured Mind,7,https://www.youtube.com/watch?v=RlRvesjS9rE
2087,Sam Hunt,Southside,1,https://www.youtube.com/watch?v=P7mLMSo17jc
2086,Thundercat,It Is What It Is,6,https://www.youtube.com/watch?v=mMY3eoqp0kg
2085,Nicolas Jaar,Cenizas,8,https://youtu.be/p_Db3vDJuWU
2084,Dua Lipa,Future Nostalgia,7,https://www.youtube.com/watch?v=tpyQzfYDh1Y
2083,Waxahatchee,Saint Cloud,4,https://www.youtube.com/watch?v=AMKnqlZzRcM
2082,Igorrr,Spirituality and Distortion,5,https://www.youtube.com/watch?v=yTWc9cdON44
2081,Sufjan Stevens & Lowell Brams,Aporia,3,https://www.youtube.com/watch?v=aHVTlcNdIFc
2080,Childish Gambino,3.15.20,4,https://www.youtube.com/watch?v=vMxNmFZ2ijY
2079,The Weeknd,After Hours,7,https://youtu.be/GpyoyfxLmCU
2078,The Garden,Kiss My Super Bowl Ring,6,https://www.youtube.com/watch?v=U8DL0wDfxAw
2077,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,5,https://www.youtube.com/watch?v=ANmdYZdKiWY
2076,Code Orange,Underneath,8,https://www.youtube.com/watch?v=hh1y2FbdHvA
2075,Four Tet,Sixteen Oceans,4,https://www.youtube.com/watch?v=el7NTXDuaCo
2074,Horse Lords,The Common Task,8,https://www.youtube.com/watch?v=NfGPMT6RNJU
2073,Jay Electronica,A Written Testimony,5,https://www.youtube.com/watch?v=9j3Y7LYl3H8
2072,Don Toliver,Heaven Or Hell,5,https://www.youtube.com/watch?v=1-YccbQ9EVk
2071,Megan Thee Stallion,Suga,5,https://www.youtube.com/watch?v=7Q8tNSIQKBM
2070,Lil Uzi Vert,Eternal Atake,4,https://www.youtube.com/watch?v=sYLTNvie3sA
2069,U.S. Girls,Heavy Light,5,https://www.youtube.com/watch?v=oH2rxEXcBSA
2068,R.A.P. Ferreira,Purple Moonlight Pages,8,https://www.youtube.com/watch?v=kJb6Lz5frq4
2067,Bad Bunny,YHLQMDLG,7,https://www.youtube.com/watch?v=cVCZGlcW3lA
2066,Caribou,Suddenly,7,https://www.youtube.com/watch?v=7aA6NOJtjew
2065,Machine Girl,U​-​Void Synthesizer,5,https://www.youtube.com/watch?v=Hbi2rTyz42U
2064,Princess Nokia,Everything Sucks,7,https://www.youtube.com/watch?v=Ui0JUOZBPls
2063,Princess Nokia,Everything Is Beautiful,6,https://youtu.be/Ui0JUOZBPls
2062,Gupi,None,7,https://www.youtube.com/watch?v=jR3hyPi0Dbc
2061,BTS,MAP OF THE SOUL : 7,5,https://youtu.be/z6y4M7HVRXg
2060,Grimes,Miss Anthropocene,4,https://www.youtube.com/watch?v=NoOWjMKLzoI
2059,Royce da 5'9'',The Allegory,6,https://www.youtube.com/watch?v=YqLDx2PnOYM
2058,King Krule,Man Alive!,8,https://youtu.be/cTUxGqQBPFM
2057,Tame Impala,The Slow Rush,6,https://www.youtube.com/watch?v=RjA1VNiEhPU
2056,EDEN,no future,4,https://www.youtube.com/watch?v=LUKTMDyfoRU
2055,Loathe,I Let It in and It Took Everything,6,https://www.youtube.com/watch?v=I4H_vmSQEGs
2054,Against All Logic,2017 - 2019,8,https://www.youtube.com/watch?v=Sv78vDGcoFU
2053,Denzel Curry & Kenny Beats,UNLOCKED,8,https://www.youtube.com/watch?v=NcK1A9uPMQ8
2052,Green Day,Father of All...,0,miss this one
2051,Gil Scott-Heron & Makaya McCraven,We're New Again - A Reimagining by Makaya McCraven,6,https://www.youtube.com/watch?v=rEpEO02CdwY
2050,HMLTD,West of Eden,8,https://www.youtube.com/watch?v=1hy6OiHZWrQ
2049,"Mark Kozelek, Ben Boye & Jim White",Mark Kozelek with Ben Boye and Jim White 2,5,https://www.youtube.com/watch?v=EMTBCKD2Uy4
2048,Dan Deacon,Mystic Familiar,8,https://www.youtube.com/watch?v=kO_RRl27BFU
2047,Lil Wayne,Funeral,4,https://www.youtube.com/watch?v=qe7bYWZZuzA
2046,Frances Quinlan,Likewise,6,https://www.youtube.com/watch?v=0a4UlkvlJgs
2045,Kesha,High Road,7,https://www.youtube.com/watch?v=e7p-ucdI5_I
2044,Lil Wayne,Funeral,4,https://www.youtube.com/watch?v=qe7bYWZZuzA
2043,Eminem,Music To Be Murdered By,5,https://youtu.be/CRdHP88An2s
2042,Mac Miller,Circles,8,https://www.youtube.com/watch?v=7ndtSyn6dVg
2041,Algiers,There Is No Year,5,https://www.youtube.com/watch?v=bwmawu1TD9M
2040,070 Shake,Modus Vivendi,5,https://www.youtube.com/watch?v=bkgPYiJvFqg
